"id"	"exp_condition"	"workerid"	"round"	"round_step"	"total_step"	"participant_x"	"participant_y"	"participant_action"	"participant_points"	"learner_x"	"learner_y"	"learner_action"	"reaction_time"	"is_collision"	"participant_gets_goal"	"learner_gets_goal"	"computation_time"	"learner_iterations"	"date_time"
6245	"s"	"EaivrqabCG"	0	0	0	0	1	"right"	0	4	1	"left"	9904	0	0	0	1168	2	"2015-10-15T22:53:54.396Z"
6246	"f"	"cg30Fxw2CY"	5	10	53	2	1	"right"	5	3	1	"up"	528	0	0	0	149	0	"2015-10-15T22:42:49.359Z"
6247	"f"	"UzcusTNxF2"	8	6	69	2	1	"right"	8	1	1	"wait"	1169	1	0	0	589	0	"2015-10-15T22:51:37.978Z"
6248	"f"	"cg30Fxw2CY"	5	11	54	3	1	"right"	5	3	2	"down"	453	0	1	0	142	0	"2015-10-15T22:42:50.120Z"
6249	"f"	"UzcusTNxF2"	8	7	70	3	1	"right"	8	1	1	"left"	1104	0	1	1	561	0	"2015-10-15T22:51:39.404Z"
6250	"s"	"EaivrqabCG"	0	1	1	1	1	"down"	0	3	1	"down"	2113	0	0	0	1203	2	"2015-10-15T22:53:56.832Z"
6251	"s"	"Zh1MLlISAE"	10	2	94	2	1	"wait"	9	3	1	"wait"	3393	1	0	0	1415	3	"2015-10-15T22:51:37.844Z"
6252	"f"	"8vfXyBuTAC"	4	1	25	1	1	"right"	0	4	0	"left"	5098	0	0	0	203	0	"2015-10-15T22:51:27.227Z"
6253	"s"	"EaivrqabCG"	0	2	2	1	0	"right"	0	3	0	"left"	1216	1	0	0	506	0	"2015-10-15T22:53:58.365Z"
6254	"f"	"cg30Fxw2CY"	6	0	55	0	1	"right"	6	4	1	"up"	647	0	0	0	170	0	"2015-10-15T22:42:53.336Z"
6255	"f"	"8vfXyBuTAC"	4	2	26	2	1	"wait"	0	3	0	"left"	1001	1	0	0	200	0	"2015-10-15T22:51:28.544Z"
6256	"f"	"cg30Fxw2CY"	6	1	56	1	1	"right"	6	4	2	"left"	313	0	0	0	130	0	"2015-10-15T22:42:53.961Z"
6257	"f"	"m9ncUQfmjD"	1	3	10	2	1	"right"	1	3	0	"up"	9577	1	0	0	284	0	"2015-10-15T22:51:51.094Z"
6258	"s"	"Zh1MLlISAE"	10	3	95	2	1	"wait"	9	3	1	"up"	1714	1	0	0	1362	2	"2015-10-15T22:51:39.872Z"
6259	"f"	"cg30Fxw2CY"	6	2	57	2	1	"wait"	6	3	2	"down"	463	1	0	0	145	0	"2015-10-15T22:42:54.734Z"
6260	"f"	"UzcusTNxF2"	9	0	71	0	1	"right"	9	4	1	"right"	1321	0	0	0	621	0	"2015-10-15T22:51:43.291Z"
6261	"s"	"Zh1MLlISAE"	10	4	96	2	1	"right"	9	3	2	"left"	564	0	0	0	340	0	"2015-10-15T22:51:40.756Z"
6262	"s"	"EaivrqabCG"	0	3	3	1	0	"wait"	0	3	0	"up"	1769	1	0	0	446	0	"2015-10-15T22:54:00.456Z"
6263	"s"	"Zh1MLlISAE"	10	5	97	3	1	"right"	9	2	2	"left"	536	0	1	0	325	0	"2015-10-15T22:51:41.612Z"
6264	"f"	"8vfXyBuTAC"	4	3	27	2	1	"wait"	0	2	0	"left"	1867	1	0	0	187	0	"2015-10-15T22:51:30.725Z"
6265	"f"	"cg30Fxw2CY"	6	3	58	2	1	"wait"	6	3	1	"wait"	820	1	0	0	505	3	"2015-10-15T22:42:55.861Z"
6266	"f"	"UzcusTNxF2"	9	1	72	1	1	"right"	9	4	1	"left"	759	0	0	0	592	0	"2015-10-15T22:51:44.367Z"
6267	"s"	"EaivrqabCG"	0	4	4	1	0	"right"	0	3	1	"left"	1013	0	0	0	456	0	"2015-10-15T22:54:01.778Z"
6268	"f"	"cg30Fxw2CY"	6	4	59	2	1	"wait"	6	3	1	"right"	293	1	0	0	132	0	"2015-10-15T22:42:56.462Z"
6269	"f"	"m9ncUQfmjD"	1	4	11	2	1	"wait"	1	3	0	"up"	2330	1	0	0	267	0	"2015-10-15T22:51:53.749Z"
6270	"f"	"8vfXyBuTAC"	4	4	28	2	1	"wait"	0	1	0	"left"	1159	1	0	0	180	0	"2015-10-15T22:51:32.208Z"
6271	"f"	"UzcusTNxF2"	9	2	73	2	1	"right"	9	3	1	"left"	969	1	0	0	583	0	"2015-10-15T22:51:45.648Z"
6272	"s"	"EaivrqabCG"	0	5	5	2	0	"right"	0	2	1	"left"	814	0	0	0	435	0	"2015-10-15T22:54:02.908Z"
6273	"f"	"cg30Fxw2CY"	6	5	60	2	1	"right"	6	4	1	"up"	1429	0	0	0	981	7	"2015-10-15T22:42:58.199Z"
6274	"f"	"8vfXyBuTAC"	4	5	29	2	1	"right"	0	0	0	"up"	755	0	0	1	188	0	"2015-10-15T22:51:33.288Z"
6275	"s"	"Zh1MLlISAE"	11	0	98	0	1	"right"	10	4	1	"down"	588	0	0	0	319	0	"2015-10-15T22:51:44.774Z"
6276	"f"	"cg30Fxw2CY"	6	6	61	3	1	"right"	6	4	2	"down"	547	1	0	0	171	0	"2015-10-15T22:42:59.053Z"
6277	"f"	"UzcusTNxF2"	9	3	74	2	1	"down"	9	3	1	"left"	1532	0	0	0	578	0	"2015-10-15T22:51:47.489Z"
6278	"s"	"Zh1MLlISAE"	11	1	99	1	1	"right"	10	4	0	"right"	509	0	0	0	326	0	"2015-10-15T22:51:45.600Z"
6279	"f"	"cg30Fxw2CY"	6	7	62	3	1	"wait"	6	4	2	"down"	874	1	0	0	158	0	"2015-10-15T22:43:00.235Z"
6280	"f"	"UzcusTNxF2"	9	4	75	2	0	"right"	9	2	1	"wait"	824	1	0	0	577	0	"2015-10-15T22:51:48.618Z"
6281	"s"	"EaivrqabCG"	0	6	6	3	0	"wait"	0	1	1	"left"	2825	1	0	1	472	0	"2015-10-15T22:54:06.046Z"
6282	"f"	"cg30Fxw2CY"	6	8	63	3	1	"wait"	6	4	1	"wait"	617	1	0	0	257	1	"2015-10-15T22:43:01.160Z"
6283	"s"	"Zh1MLlISAE"	11	2	100	2	1	"right"	10	4	0	"down"	1309	0	0	0	1168	1	"2015-10-15T22:51:47.226Z"
